ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime
12601,The Kate Logan affair,2010,18+,4.8,100%,0,0,1,0,0,Noël Mitrani,"Drama,Thriller",Canada,"English,French",85
12602,Granny's Got Game,2013,18+,7.8,100%,0,0,1,0,0,Angela Alford,"Documentary,Family,Sport",United States,English,74
12603,The Last Ocean,2012,7+,7.7,100%,0,0,1,0,0,Peter Young,Documentary,New Zealand,English,88
12606,Last Call at Maud's,1993,18+,7.1,100%,0,0,1,0,0,Paris Poirier,"Documentary,History",United States,English,77
12607,Early Release,2017,16+,4.8,100%,0,0,1,0,0,John L'Ecuyer,"Drama,Thriller",Canada,English,90
12610,Terror Talk,2018,18+,3.1,100%,0,0,1,0,0,"Brian Jalbert,Jake Jalbert",Horror,United States,English,89
12611,Singularity Principle,2013,18+,5.1,100%,0,0,1,0,0,"David Robert Deranian,Austin Robert Hines",Sci-Fi,"United States,Canada,Bahamas,Australia",English,87
12613,The Redeeming,2018,18+,4.2,100%,0,0,1,0,0,Brian Barnes,"Drama,Mystery,Thriller",United Kingdom,English,85
12615,Gettin' In,2012,18+,2.5,100%,0,0,1,0,0,Jason Wan Lim,"Comedy,Romance",Canada,English,91
12616,Small Pond,2012,18+,5.5,100%,0,0,1,0,0,Josh Slates,"Comedy,Drama",United States,English,76
12617,The First Turn-On!,1983,18+,4.4,100%,0,0,1,0,0,"Michael Herz,Lloyd Kaufman",Comedy,United States,English,88
12618,Appalachian Trial,2004,18+,4.8,100%,0,0,1,0,0,Tim Rogers,"Adventure,Family",United States,English,84
12619,1313: Actor Slash Model,2011,18+,3.4,100%,0,0,1,0,0,David DeCoteau,"Drama,Thriller","United States,Canada",English,72
12620,The Annihilators,1985,18+,5,100%,0,0,1,0,0,Charles E. Sellier Jr.,"Action,Crime,Drama",United States,English,84
12621,In Search of Peace,2001,18+,6.4,100%,0,0,1,0,0,Richard Trank,"Documentary,History,War",United States,"English,Hebrew,Yiddish",105
12622,The Grotesque World of Jimmy the Bean,2019,18+,4.1,100%,0,0,1,0,0,Alexander Henderson,Horror,United States,English,87
12623,Fun Size Horror: Volume One,2015,18+,4.6,100%,0,0,1,0,0,"Bryan Chojnowski,Lisa J Dooley,Ned Ehrbar,Mali Elfman,Dick Grunert,Max Isaacson,Anthony Lund,Michael May,Glen Murakami,Grant Olin,Ali Presley Paras,Eric Pereira,Zeke Pinheiro,Jerry Pyle,Anisa Qureshi,Ben Rekhi,Erin Stegeman,Josh C. Waller",Horror,United States,English,86
12625,The Return of Joe Rich,2011,18+,4.2,100%,0,0,1,0,0,Sam Auster,"Comedy,Drama",United States,English,95
12626,"Secretariat's Jockey, Ron Turcotte",2013,18+,7.6,100%,0,0,1,0,0,Phil Comeau,Documentary,Canada,"English,French",75
12628,Detention,2003,18+,4.1,100%,0,0,1,0,0,Joseph Kahn,"Comedy,Horror,Mystery,Sci-Fi,Thriller",United States,English,95
12631,A Remarkable Life,2016,18+,4.7,100%,0,0,1,0,0,Vohn Regensburger,"Drama,Music,Romance",United States,English,97
12632,Five Pounds,2010,18+,4.1,100%,0,0,1,0,0,Michael Peer,"Crime,Drama,Thriller",United States,English,83
